#Table1
z,zErr,petroMag_g,petroMagErr_g,ra,dec,bestObjID
0.3121289,3.300425E-05,20.67403,0.04861383,228.268269955885,-1.21603402293661,1237648702986125739
0.3945964,3.506114E-05,18.48531,0.007548002,194.931649409398,1.04863230731576,1237648705655865435
0.3252514,8.710584E-05,19.57382,0.02899236,25.2531582155887,12.8579457668625,1237649918433231004
0.3061029,3.589876E-05,17.53413,0.004898425,46.1490209086675,-7.61808677596403,1237649962453434502
0.3759548,5.786184E-05,20.8334,0.05807237,118.642903790797,39.7797144669845,1237651250405638656
0.3965549,5.387365E-05,19.25553,0.01591688,235.64300852308,54.0267704592088,1237651251510771972
0.3580821,3.856865E-05,18.67089,0.01329844,263.012873925768,61.2977486589398,1237651312682008958
0.381822,3.800097E-05,20.01832,0.02250377,239.364626923205,54.5403714494317,1237651538724585757
0.3841814,3.561415E-05,21.70972,0.1389402,240.334885482794,54.2856297930243,1237651539261719039
0.3068688,4.49382E-05,18.44275,0.0323415,143.059121990181,62.3608907017868,1237651540314947787
0.3016277,4.912204E-05,21.92429,0.1403586,251.983922684755,42.4542341429909,1237651714263548879
0.3749521,9.240553E-05,19.22756,0.01289061,252.036421927869,43.9249923108056,1237651715336765737
0.3079323,4.869953E-05,17.99398,0.006515801,253.290854014009,42.3269721831778,1237651715337617419
0.3960259,6.39088E-05,21.33434,0.1286874,220.213217384229,2.73772363633826,1237651737385173351
0.3059681,4.906306E-05,16.99913,0.003494279,201.19854118085,3.40907045135751,1237651755093327909
0.3065727,4.198417E-05,20.27767,0.06895588,156.148778922446,0.544646418818778,1237651801773637962
0.3628398,2.652294E-05,19.3462,0.02518589,156.261449065893,0.524102148793971,1237651801773703339
0.3571666,3.626959E-05,18.49124,0.009123118,36.1212560467672,-9.31436290621469,1237652899689922644
0.3634729,3.886637E-05,21.53891,0.1934693,62.8684402566443,-5.61238066914494,1237652900238524751
0.3362269,8.360549E-05,19.04542,0.01728336,3.75992348135955,-9.74421448759163,1237652947990413425
0.3560814,1.905276E-05,19.55805,0.040138,41.1958141142688,-7.7766848147487,1237653502045126818
0.3428544,3.244514E-05,20.67871,0.06416589,19.8395338501914,14.4814415932851,1237653651843383491
0.3459108,4.589856E-05,20.24273,0.06168289,149.868003151075,2.35187386004727,1237653665258799399
0.3809875,0.0001136364,19.0844,0.01994902,155.181143766292,4.46616490609063,1237654601565667493
0.3488519,3.482121E-05,20.63231,0.04451631,148.502525073737,3.54227702039566,1237654604783812922
0.3403903,0.0001014284,20.13984,0.03590193,145.33447960094,52.384356478541,1237654652034548007
0.383338,5.439858E-05,21.04967,0.1079686,219.637826559016,3.60182370381189,1237654879665325224
0.3439909,4.966452E-05,18.8337,0.01123382,186.487996477852,5.72509520743861,1237654881261453541
0.395246,4.589133E-05,21.71782,0.338651,257.051938005983,37.7411471259773,1237654954281796486
0.3391229,9.248001E-05,21.74786,0.1780109,162.986342569516,56.8852742474888,1237655106762179004
0.3910363,3.200363E-05,20.74637,0.05417943,207.519661664703,58.2018682076934,1237655108383080688
0.383159,5.217298E-05,19.48433,0.02384959,172.771575178937,60.3807585352856,1237655109449089031
0.3334193,4.808451E-05,20.72765,0.05452209,242.239838081819,49.4434337610324,1237655129836290393
0.392564,2.675118E-05,19.80725,0.02398745,240.940622213115,48.249537883215,1237655349429207252
0.3895941,4.010463E-05,19.5556,0.02358634,223.305649713179,55.267469807673,1237655368760295532
0.3910408,5.653272E-05,21.03824,0.06517391,221.463338192634,57.5755144814123,1237655370369991018
0.3225426,6.539323E-05,22.32111,0.1891209,210.278432152583,61.3604321425038,1237655371440718514
0.3008404,3.926764E-05,20.51766,0.0442907,237.707620529353,49.9928891958977,1237655465392799954
0.3373826,4.429455E-05,20.25203,0.03807921,313.742029650365,0.544881393170583,1237656569186354384
0.3579918,3.767317E-05,19.02514,0.0128486,355.210516428654,1.10985298242923,1237656909037306042
0.3834574,5.781661E-05,22.95538,0.1831976,6.39886348867014,-0.466313559557028,1237657190371164166
0.3443441,3.155836E-05,20.03087,0.04156614,158.195433322088,54.95348097937,1237657222022234280
0.3435964,2.145228E-05,19.48879,0.03031489,39.251286329146,-1.02515505917417,1237657584949788859
0.3144097,2.531082E-05,18.53937,0.01397679,164.935672515925,53.7319886845653,1237657590855106635
0.3347248,4.719778E-05,19.60573,0.02158733,165.373311337534,54.9627516665044,1237657610725621894
0.387985,4.682208E-05,20.63773,0.09399022,144.735585361385,43.9041715026301,1237657628443345135
0.3387129,6.458205E-05,19.53208,0.02861023,137.960958015119,46.2967521897845,1237657770168680681
0.3571137,9.500457E-05,19.34914,0.01784638,124.73306158173,31.453421640272,1237657773927104746
0.3375902,3.038308E-05,19.44489,0.03691173,129.85505851982,34.5083994527721,1237658192149807348
0.3283606,0.0002176467,21.79254,0.08822586,129.158504401978,4.82811403371297,1237658300058108664
0.3400845,4.40363E-05,19.5473,0.0247342,173.230979637596,6.36135248466999,1237658422485844049
0.3761259,2.652989E-05,16.93837,0.003148498,131.157034466209,5.26078485309477,1237658491721220237
0.3004115,4.211127E-05,20.33819,0.05435953,166.888245157703,49.0722712773237,1237658613590917452
0.3858297,4.108707E-05,18.45348,0.008472987,157.267475956352,50.8013074136842,1237658800956768294
0.34755,3.908273E-05,17.87977,0.008685231,194.60246224896,54.0749574123778,1237658916921802757
0.3762138,8.440985E-05,21.37851,0.1167687,237.077372244566,40.9379202320197,1237659119330853216
0.3715473,7.176222E-05,18.45837,0.007900534,246.248751758543,38.2571626756321,1237659324418949204
0.3106595,6.206041E-05,21.65234,0.1349676,246.619065726317,40.1927777880308,1237659330851832236
0.3538519,8.947146E-05,17.67356,0.004502781,139.13724605638,8.1359591109023,1237660413724262467
0.3755506,0.0001366823,21.87426,0.4259416,165.896480509154,44.9534144051129,1237660634387644722
0.3380879,5.488323E-05,18.83374,0.01193742,143.976945288316,39.780650467467,1237660635990917237
0.3635342,4.757458E-05,19.21776,0.01877719,131.077968802826,30.6345132592146,1237660764838232243
0.3673127,0.0001226226,21.08647,0.0732163,126.469671980201,28.2592992458231,1237660765373071742
0.3866563,7.491051E-05,19.02563,0.01388886,131.64293695834,31.5161750159423,1237660765375496231
